times,absv
2015-03-11 15:50:00,"537   NaN
Name: absv, dtype: float64"
2015-03-11 15:51:00,1.47
2015-03-11 15:52:00,1.58
2015-03-11 15:53:00,1.43
2015-03-11 15:54:00,1.42
2015-03-11 15:55:00,"541    NaN
542    NaN
Name: absv, dtype: object"
2015-03-11 15:56:00,1.57
2015-03-11 15:57:00,"543    NaN
Name: absv, dtype: object"
2015-03-11 15:58:00,"0      543    NaN
Name: absv, dtype: object
545                                     NaN
Name: absv, dtype: object"
2015-03-11 15:59:00,1.56
2015-03-11 16:00:00,1.38
2015-03-11 16:01:00,"547    NaN
Name: absv, dtype: object"
2015-03-11 16:02:00,"0      547    NaN
Name: absv, dtype: object
549                                     NaN
Name: absv, dtype: object"
2015-03-11 16:03:00,1.33
2015-03-11 16:04:00,1.44
2015-03-11 16:05:00,1.29
2015-03-11 16:06:00,1.4
2015-03-11 16:07:00,1.01
2015-03-11 16:08:00,1.29
2015-03-11 16:09:00,"555    NaN
Name: absv, dtype: object"
2015-03-11 16:10:00,"0      555    NaN
Name: absv, dtype: object
557                                     NaN
Name: absv, dtype: object"
2015-03-11 16:11:00,1.39
2015-03-11 16:12:00,"558    NaN
Name: absv, dtype: object"
2015-03-11 16:13:00,"0    558    NaN
Name: absv, dtype: object
Name: absv, dtype: object"
2015-03-11 16:14:00,"0    0    558    NaN
Name: absv, dtype: object
Name...
Name: absv, dtype: object"
2015-03-11 16:15:00,"0      0    0    558    NaN
Name: absv, dtype: object...
562                                                  NaN
Name: absv, dtype: object"
2015-03-11 16:16:00,1.92
2015-03-11 16:17:00,"563    NaN
564    NaN
Name: absv, dtype: object"
2015-03-11 16:18:00,1.96
2015-03-11 16:19:00,2.17
2015-03-11 16:20:00,"566    NaN
Name: absv, dtype: object"
2015-03-11 16:21:00,"0    566    NaN
Name: absv, dtype: object
Name: absv, dtype: object"
2015-03-11 16:22:00,"0    0    566    NaN
Name: absv, dtype: object
Name...
Name: absv, dtype: object"
2015-03-11 16:23:00,"0    0    0    566    NaN
Name: absv, dtype: object...
Name: absv, dtype: object"
2015-03-11 16:24:00,"0      0    0    0    566    NaN
Name: absv, dtype: o...
571                                                  NaN
Name: absv, dtype: object"
2015-03-11 16:25:00,1.33
2015-03-11 16:26:00,1.55
2015-03-11 16:27:00,"573    NaN
Name: absv, dtype: object"
2015-03-11 16:28:00,"0      573    NaN
Name: absv, dtype: object
575                                     NaN
Name: absv, dtype: object"
2015-03-11 16:29:00,1.9
2015-03-11 16:30:00,1.14
2015-03-11 16:31:00,"577    NaN
578    NaN
Name: absv, dtype: object"
2015-03-11 16:32:00,1.81
2015-03-11 16:33:00,1.89
2015-03-11 16:34:00,"580    NaN
581    NaN
Name: absv, dtype: object"
2015-03-11 16:35:00,1.34
2015-03-11 16:36:00,1.8
2015-03-11 16:37:00,1.23
2015-03-11 16:38:00,1.6
2015-03-11 16:39:00,1.05
2015-03-11 16:40:00,"586    NaN
587    NaN
Name: absv, dtype: object"
2015-03-11 16:41:00,1.33
2015-03-11 16:42:00,"588    NaN
Name: absv, dtype: object"
2015-03-11 16:43:00,"0    588    NaN
Name: absv, dtype: object
Name: absv, dtype: object"
2015-03-11 16:44:00,"0    0    588    NaN
Name: absv, dtype: object
Name...
Name: absv, dtype: object"
2015-03-11 16:45:00,"0      0    0    588    NaN
Name: absv, dtype: object...
592                                                  NaN
Name: absv, dtype: object"
2015-03-11 16:46:00,1.32
2015-03-11 16:47:00,1.66
2015-03-11 16:48:00,"594    NaN
595    NaN
Name: absv, dtype: object"
2015-03-11 16:49:00,1.36
2015-03-11 16:50:00,"596    NaN
597    NaN
Name: absv, dtype: object"
2015-03-11 16:51:00,1.39
2015-03-11 16:52:00,1.82
2015-03-11 16:53:00,"599    NaN
Name: absv, dtype: object"
2015-03-11 16:54:00,"0      599    NaN
Name: absv, dtype: object
601                                     NaN
Name: absv, dtype: object"
2015-03-11 16:55:00,1.77
2015-03-11 16:56:00,0.99
2015-03-11 16:57:00,1.57
2015-03-11 16:58:00,"604    NaN
605    NaN
Name: absv, dtype: object"
2015-03-11 16:59:00,1.56
2015-03-11 17:00:00,"606    NaN
607    NaN
Name: absv, dtype: object"
2015-03-11 17:01:00,1.68
2015-03-11 17:02:00,0.91
2015-03-11 17:03:00,1.01
2015-03-11 17:04:00,"610    NaN
611    NaN
Name: absv, dtype: object"
2015-03-11 17:05:00,1.59
2015-03-11 17:06:00,1.48
2015-03-11 17:07:00,1.55
2015-03-11 17:08:00,"614    NaN
Name: absv, dtype: object"
2015-03-11 17:09:00,"0      614    NaN
Name: absv, dtype: object
616                                     NaN
Name: absv, dtype: object"
2015-03-11 17:10:00,1.36
2015-03-11 17:11:00,1.47
2015-03-11 17:12:00,1.74
2015-03-11 17:13:00,1.74
2015-03-11 17:14:00,"620    NaN
Name: absv, dtype: object"
2015-03-11 17:15:00,"0    620    NaN
Name: absv, dtype: object
Name: absv, dtype: object"
2015-03-11 17:16:00,"0      0    620    NaN
Name: absv, dtype: object
Name...
623                                                  NaN
Name: absv, dtype: object"
2015-03-11 17:17:00,1.61
2015-03-11 17:18:00,1.13
2015-03-11 17:19:00,1.42
