times,absv
2015-03-11 15:50:00,-4.02
2015-03-11 15:51:00,-3.85
2015-03-11 15:52:00,-4.1
2015-03-11 15:53:00,-4.27
2015-03-11 15:54:00,-4.01
2015-03-11 15:55:00,-3.44
2015-03-11 15:56:00,-3.54
2015-03-11 15:57:00,-4.34
2015-03-11 15:58:00,-4.61
2015-03-11 15:59:00,-4.09
2015-03-11 16:00:00,-4.2
2015-03-11 16:01:00,-4.33
2015-03-11 16:02:00,-4.49
2015-03-11 16:03:00,-4.93
2015-03-11 16:04:00,-4.58
2015-03-11 16:05:00,-5.22
2015-03-11 16:06:00,-4.46
2015-03-11 16:07:00,-4.85
2015-03-11 16:08:00,-4.33
2015-03-11 16:09:00,-4.23
2015-03-11 16:10:00,-4.43
2015-03-11 16:11:00,-4.68
2015-03-11 16:12:00,-5.27
2015-03-11 16:13:00,-4.67
2015-03-11 16:14:00,-5.33
2015-03-11 16:15:00,-5.01
2015-03-11 16:16:00,-4.54
2015-03-11 16:17:00,-4.62
2015-03-11 16:18:00,-5.41
2015-03-11 16:19:00,-5.13
2015-03-11 16:20:00,-5.08
2015-03-11 16:21:00,-4.8
2015-03-11 16:22:00,-4.62
2015-03-11 16:23:00,-5.06
2015-03-11 16:24:00,-4.86
2015-03-11 16:25:00,-4.88
2015-03-11 16:26:00,-4.9
2015-03-11 16:27:00,-5.1
2015-03-11 16:28:00,-5.26
2015-03-11 16:29:00,-5.18
2015-03-11 16:30:00,-4.9
2015-03-11 16:31:00,-5.05
2015-03-11 16:32:00,-4.81
2015-03-11 16:33:00,-4.66
2015-03-11 16:34:00,-4.88
2015-03-11 16:35:00,-4.65
2015-03-11 16:36:00,-5.37
2015-03-11 16:37:00,-5.45
2015-03-11 16:38:00,-4.97
2015-03-11 16:39:00,-4.81
2015-03-11 16:40:00,-5.3
2015-03-11 16:41:00,-5.01
2015-03-11 16:42:00,-4.42
2015-03-11 16:43:00,-4.6
2015-03-11 16:44:00,-4.75
2015-03-11 16:45:00,-4.69
2015-03-11 16:46:00,-5.24
2015-03-11 16:47:00,-4.92
2015-03-11 16:48:00,-3.93
2015-03-11 16:49:00,-4.38
2015-03-11 16:50:00,-4.74
2015-03-11 16:51:00,-4.74
2015-03-11 16:52:00,-4.7
2015-03-11 16:53:00,-5.02
2015-03-11 16:54:00,-5.28
2015-03-11 16:55:00,-5.26
2015-03-11 16:56:00,-5.07
2015-03-11 16:57:00,-5.15
2015-03-11 16:58:00,-4.85
2015-03-11 16:59:00,-5.2
2015-03-11 17:00:00,-5.06
2015-03-11 17:01:00,-4.11
2015-03-11 17:02:00,-4.13
2015-03-11 17:03:00,-4.78
2015-03-11 17:04:00,-4.73
2015-03-11 17:05:00,-4.15
2015-03-11 17:06:00,-5.12
2015-03-11 17:07:00,-4.5
2015-03-11 17:08:00,-4.41
2015-03-11 17:09:00,-4.33
2015-03-11 17:10:00,-4.81
2015-03-11 17:11:00,-4.52
2015-03-11 17:12:00,-4.61
2015-03-11 17:13:00,-4.73
2015-03-11 17:14:00,-5.5
2015-03-11 17:15:00,-5.41
2015-03-11 17:16:00,-5.14
2015-03-11 17:17:00,-4.46
2015-03-11 17:18:00,-5.5
2015-03-11 17:19:00,-5.39
