dt,A_AVG,A_NUM_PTS,A_QUAL_FLAG,B_AVG,B_NUM_PTS,B_QUAL_FLAG
2015-03-11 00:00:00,4.26095994044e-06,29.0,0.0,1.48169001477e-05,29.0,0.0
2015-03-11 00:01:00,8.87888018042e-06,29.0,0.0,2.70869004453e-05,29.0,0.0
2015-03-11 00:02:00,7.62466015658e-06,30.0,0.0,2.90970001515e-05,30.0,0.0
2015-03-11 00:03:00,5.28605005456e-06,29.0,0.0,2.59898006334e-05,29.0,0.0
2015-03-11 00:04:00,3.62918990504e-06,29.0,0.0,2.13927996811e-05,29.0,0.0
2015-03-11 00:05:00,2.58290992861e-06,29.0,0.0,1.70294006239e-05,29.0,0.0
2015-03-11 00:06:00,1.9283399979e-06,30.0,0.0,1.36447997647e-05,30.0,0.0
2015-03-11 00:07:00,1.46693002989e-06,29.0,0.0,1.13196001621e-05,29.0,0.0
2015-03-11 00:08:00,1.13377996058e-06,29.0,0.0,9.54324968916e-06,29.0,0.0
2015-03-11 00:09:00,8.94879974567e-07,30.0,0.0,8.03091006674e-06,30.0,0.0
2015-03-11 00:10:00,7.38837002245e-07,29.0,0.0,6.87459987603e-06,29.0,0.0
2015-03-11 00:11:00,6.35923015579e-07,29.0,0.0,6.02990985499e-06,29.0,0.0
2015-03-11 00:12:00,5.70349016016e-07,30.0,0.0,5.45295006305e-06,30.0,0.0
2015-03-11 00:13:00,5.23323024026e-07,29.0,0.0,5.11196003572e-06,29.0,0.0
2015-03-11 00:14:00,4.75863004112e-07,29.0,0.0,4.82878022012e-06,29.0,0.0
2015-03-11 00:15:00,4.33628997598e-07,29.0,0.0,4.60716000816e-06,29.0,0.0
2015-03-11 00:16:00,3.99576009613e-07,30.0,0.0,4.45209980171e-06,30.0,0.0
2015-03-11 00:17:00,3.69757998442e-07,29.0,0.0,4.30621003034e-06,29.0,0.0
2015-03-11 00:18:00,3.46585011357e-07,29.0,0.0,4.12801000493e-06,29.0,0.0
2015-03-11 00:19:00,3.76580999273e-07,30.0,0.0,4.19422985942e-06,30.0,0.0
2015-03-11 00:20:00,4.80205017084e-07,29.0,0.0,4.56798989035e-06,29.0,0.0
2015-03-11 00:21:00,6.0902198129e-07,29.0,0.0,5.07481991008e-06,29.0,0.0
2015-03-11 00:22:00,6.1713001287e-07,29.0,0.0,5.23317021361e-06,29.0,0.0
2015-03-11 00:23:00,6.09838025412e-07,30.0,0.0,5.30709985469e-06,30.0,0.0
2015-03-11 00:24:00,6.19974002802e-07,29.0,0.0,5.44030990568e-06,29.0,0.0
2015-03-11 00:25:00,5.87732017721e-07,29.0,0.0,5.35708977623e-06,29.0,0.0
2015-03-11 00:26:00,5.30117006292e-07,30.0,0.0,5.07849017595e-06,30.0,0.0
2015-03-11 00:27:00,4.75170992331e-07,29.0,0.0,4.78464016851e-06,29.0,0.0
2015-03-11 00:28:00,4.13875994809e-07,29.0,0.0,4.46216017735e-06,29.0,0.0
2015-03-11 00:29:00,3.63356008393e-07,30.0,0.0,4.14579017161e-06,30.0,0.0
2015-03-11 00:30:00,3.57000004669e-07,29.0,0.0,3.94990001951e-06,29.0,0.0
2015-03-11 00:31:00,3.97851010803e-07,29.0,0.0,3.92530000681e-06,29.0,0.0
2015-03-11 00:32:00,4.15490006844e-07,29.0,0.0,3.89889009966e-06,29.0,0.0
2015-03-11 00:33:00,3.91403006006e-07,30.0,0.0,3.78352001462e-06,30.0,0.0
2015-03-11 00:34:00,3.56577004368e-07,29.0,0.0,3.65944993064e-06,29.0,0.0
2015-03-11 00:35:00,3.47585000782e-07,29.0,0.0,3.56789996658e-06,29.0,0.0
2015-03-11 00:36:00,3.43963989735e-07,30.0,0.0,3.56928990186e-06,30.0,0.0
2015-03-11 00:37:00,3.05658005573e-07,29.0,0.0,3.48232993019e-06,29.0,0.0
2015-03-11 00:38:00,2.58927002506e-07,29.0,0.0,3.29264003085e-06,29.0,0.0
2015-03-11 00:39:00,2.07368998417e-07,30.0,0.0,3.03755996356e-06,30.0,0.0
2015-03-11 00:40:00,1.72230002704e-07,29.0,0.0,2.79530991065e-06,29.0,0.0
2015-03-11 00:41:00,1.73114003132e-07,29.0,0.0,2.66649999503e-06,29.0,0.0
2015-03-11 00:42:00,1.91290993712e-07,29.0,0.0,2.629320079e-06,29.0,0.0
2015-03-11 00:43:00,2.07517004469e-07,30.0,0.0,2.60760998572e-06,30.0,0.0
2015-03-11 00:44:00,2.20112994498e-07,29.0,0.0,2.63656011157e-06,29.0,0.0
2015-03-11 00:45:00,2.17462002183e-07,29.0,0.0,2.65085009232e-06,29.0,0.0
2015-03-11 00:46:00,2.08000002999e-07,30.0,0.0,2.65124003818e-06,30.0,0.0
2015-03-11 00:47:00,2.02858004172e-07,29.0,0.0,2.64994991994e-06,29.0,0.0
2015-03-11 00:48:00,2.00783006221e-07,29.0,0.0,2.63773995357e-06,29.0,0.0
2015-03-11 00:49:00,2.05288003485e-07,30.0,0.0,2.63121000899e-06,30.0,0.0
2015-03-11 00:50:00,2.2026699753e-07,29.0,0.0,2.67627001449e-06,29.0,0.0
2015-03-11 00:51:00,2.20843006105e-07,29.0,0.0,2.71027988674e-06,29.0,0.0
2015-03-11 00:52:00,2.05163999567e-07,29.0,0.0,2.68594999397e-06,29.0,0.0
2015-03-11 00:53:00,1.7805800212e-07,30.0,0.0,2.59929993263e-06,30.0,0.0
2015-03-11 00:54:00,1.5382200047e-07,29.0,0.0,2.509649903e-06,29.0,0.0
2015-03-11 00:55:00,1.40064003062e-07,29.0,0.0,2.42661008087e-06,29.0,0.0
