times,iri,euvac
2015-03-11 15:50:00,0.16,0.14
2015-03-11 15:51:00,0.16,0.14
2015-03-11 15:52:00,0.17,0.14
2015-03-11 15:53:00,0.17,0.14
2015-03-11 15:54:00,0.17,0.14
2015-03-11 15:55:00,0.17,0.14
2015-03-11 15:56:00,0.17,0.14
2015-03-11 15:57:00,0.17,0.14
2015-03-11 15:58:00,0.17,0.14
2015-03-11 15:59:00,0.17,0.14
2015-03-11 16:00:00,0.17,0.14
2015-03-11 16:01:00,0.17,0.14
2015-03-11 16:02:00,0.17,0.14
2015-03-11 16:03:00,0.17,0.14
2015-03-11 16:04:00,0.17,0.14
2015-03-11 16:05:00,0.17,0.14
2015-03-11 16:06:00,0.17,0.14
2015-03-11 16:07:00,0.17,0.14
2015-03-11 16:08:00,0.17,0.14
2015-03-11 16:09:00,0.17,0.14
2015-03-11 16:10:00,0.17,0.14
2015-03-11 16:11:00,0.17,0.14
2015-03-11 16:12:00,0.17,0.15
2015-03-11 16:13:00,0.17,0.15
2015-03-11 16:14:00,0.17,0.19
2015-03-11 16:15:00,0.17,0.29
2015-03-11 16:16:00,0.17,1.12
2015-03-11 16:17:00,0.17,1.96
2015-03-11 16:18:00,0.17,2.4
2015-03-11 16:19:00,0.17,2.67
2015-03-11 16:20:00,0.17,2.82
2015-03-11 16:21:00,0.17,2.84
2015-03-11 16:22:00,0.17,2.81
2015-03-11 16:23:00,0.17,2.75
2015-03-11 16:24:00,0.17,2.65
2015-03-11 16:25:00,0.17,2.53
2015-03-11 16:26:00,0.17,2.41
2015-03-11 16:27:00,0.17,2.3
2015-03-11 16:28:00,0.17,2.2
2015-03-11 16:29:00,0.18,2.1
2015-03-11 16:30:00,0.18,2.01
2015-03-11 16:31:00,0.18,1.9
2015-03-11 16:32:00,0.18,1.8
2015-03-11 16:33:00,0.18,1.7
2015-03-11 16:34:00,0.18,1.61
2015-03-11 16:35:00,0.18,1.52
2015-03-11 16:36:00,0.18,1.45
2015-03-11 16:37:00,0.18,1.38
2015-03-11 16:38:00,0.18,1.31
2015-03-11 16:39:00,0.18,1.25
2015-03-11 16:40:00,0.18,1.19
2015-03-11 16:41:00,0.18,1.13
2015-03-11 16:42:00,0.18,1.07
2015-03-11 16:43:00,0.18,1.02
2015-03-11 16:44:00,0.18,0.97
2015-03-11 16:45:00,0.18,0.92
2015-03-11 16:46:00,0.18,0.87
2015-03-11 16:47:00,0.18,0.83
2015-03-11 16:48:00,0.18,0.79
2015-03-11 16:49:00,0.18,0.76
2015-03-11 16:50:00,0.18,0.73
2015-03-11 16:51:00,0.18,0.69
2015-03-11 16:52:00,0.18,0.66
2015-03-11 16:53:00,0.18,0.63
2015-03-11 16:54:00,0.18,0.61
2015-03-11 16:55:00,0.18,0.58
2015-03-11 16:56:00,0.18,0.55
2015-03-11 16:57:00,0.18,0.52
2015-03-11 16:58:00,0.18,0.49
2015-03-11 16:59:00,0.18,0.47
2015-03-11 17:00:00,0.18,0.45
2015-03-11 17:01:00,0.18,0.43
2015-03-11 17:02:00,0.18,0.41
2015-03-11 17:03:00,0.18,0.4
2015-03-11 17:04:00,0.18,0.4
2015-03-11 17:05:00,0.18,0.39
2015-03-11 17:06:00,0.18,0.38
2015-03-11 17:07:00,0.18,0.37
2015-03-11 17:08:00,0.18,0.36
2015-03-11 17:09:00,0.18,0.35
2015-03-11 17:10:00,0.18,0.33
2015-03-11 17:11:00,0.18,0.32
2015-03-11 17:12:00,0.18,0.31
2015-03-11 17:13:00,0.18,0.3
2015-03-11 17:14:00,0.18,0.28
2015-03-11 17:15:00,0.18,0.27
2015-03-11 17:16:00,0.18,0.26
2015-03-11 17:17:00,0.18,0.25
2015-03-11 17:18:00,0.18,0.24
2015-03-11 17:19:00,0.18,0.24
